col_zero,
Inhalation
Injection
Spray
Gel
Tablet
Syrup
Ointment
Capsule
Nasal Spray
Powder
Solution
Suspension
Cap
Liquid
Tab/cap
Injfusion
Infusion
Pessary
Lotion
Cream
Injection I.V Infusion
vial
2.5mg PFS
10 Lit. Can
Tablet Dispersable
Capsule/Tablet
Aqueous Solution
mouth wash
solution for scrubing
Oinment
oint
Emulsion
Application
Can
Jar
Topical
Eye Drop
Tincture
Solution(topical )
Mouthwash
Crystal
Suppositories
Ointment/Suppos itories
Levonorgesterol Releasing IUD
Gel 0.1%, Single Use Patch
Eye Drops
Eye Ointment
Eye Drop/ Ointment
Drops
Eye Oint.
Ear Drop
Drop
Skin Ointment
Nasal Drop
Eye /Ear Drop
Ophthalmic Solution
Ointment(Eye )
Opthalmic solution
Lubricant Eye Drop
Fluid
oral solution
Inhaler
Respules
Respiratory Solution
Rotacap
Respirator
Sachet
Granules
Tablet /Capsule
Capsule / Tablet
Soft gelatine Capsule
Intratracheal Suspeusion
Irrigation Solution
Powder for injection, lyophilized
