MedID,Medication
1090,Acetazolamide Related Compound D (25 mg) (5-Amino-1 - 3 - 4-thiadiazole-2-sulfonamide)
1091,Acetazolamide Related Compound E (25 mg) (5-Acetamido-1 - 3 - 4-thiadiazole-2-sulfonic acid potassium salt)
1092,Acetohydroxamic Acid (200 mg)
1093,Acetone (1.5 mL/ampule; 3 ampules)
1094,Acetyl Simvastatin (30 mg) ((1S - 3R - 7S - 8S - 8aR)-8-{2-[(2R - 4R)-4-(acetoxy)-6-oxotetrahydro-2H-pyran-2-yl]ethyl}-3 - 7-dimethyl-1 - 2 - 3 - 7 - 8 - 8a-hexahydronaphthalen-1-yl 2 - 2-dimethylbutanoate)
1095,Acetylcholine Chloride (200 mg)
1096,Acetylcysteine (200 mg)
1097,Acetyltributyl Citrate (3 x 200 mg)
1098,Acetyltriethyl Citrate (500 mg)
1099,Acitretin (200 mg)
1100,Acitretin Related Compound A (20 mg) ((2Z - 4E - 6E - 8E)-9-(4-methoxy-2 - 3 - 6-trimethylphenyl)-3 - 7-dimethylnona-2 - 4 - 6 - 8-tetraenoic acid)
1101,Acitretin Related Compound B (20 mg) (ethyl (all-E)-9-(4-methoxy-2 - 3 - 6-trimethylphenyl)-3 - 7-dimethylnona-2 - 4 - 6 - 8-tetraenoate)
1102,Actein (20 mg)
1103,Acyclovir (300 mg)
1104,Acyclovir Related Compound A (50 mg) (2-[(2-amino-6-oxo-1 - 6-dihydro-9H-purin-9-yl)methoxy]ethyl acetate)
1105,Acyclovir Related Compound F (50 mg) (N-[9-[(2-Hydroxyethoxy)methyl]-6-oxo-6 - 9-dihydro-1H-purin-2-yl]acetamide)
1106,Acyclovir Related Compound G (50 mg) (2-{[2-(Acetylamino)-6-oxo-1 - 6-dihydro-9H-purin-9-yl]methoxy}ethyl acetate)
1107,Adapalene (200 mg)
1108,Adapalene Related Compound A (50 mg) (Methyl 6-bromo-2-naphthoate)
1109,Adapalene Related Compound B (50 mg) (Methyl 6-[3-(1-adamantyl)-4-methoxyphenyl]-2-naphthoate)
1110,Adapalene Related Compound C (25 mg) (2-(adamant-1-yl)methoxybenzene)
1111,Adapalene Related Compound D (25 mg) (4 - 4'-dimethoxy-3 - 3'-di(adamant-1-yl)biphenyl)
1112,Adapalene Related Compound E (25 mg) (2 - 2'-binaphthyl-6 - 6'-dicarboxylic acid)
1113,Ademetionine Disulfate Tosylate (500 mg) (S-Adenosyl-L-Methionine Disulfate Tosylate)
1114,Adenine (200 mg)
1115,Adenosine (200 mg)
1116,Adipic Acid (100 mg)
1117,Adrenalone Hydrochloride (25 mg) (3' - 4'-Dihydroxy-2-(methylamino)acetophenone hydrochloride)
1118,Advantame (200 mg)
1119,Advantame Acid (20 mg) (N-[N-[3-(3-hydroxy-4-methoxyphenyl)propyl]aspartyl]phenylalanine)
1120,Agar (500 mg)
1121,Agigenin (25 mg)
1122,Agnuside (25 mg)
1123,Albendazole (200 mg)
1124,Albuterol (200 mg)
1125,Albuterol Related Compound A (25 mg) (4-[2-[(1 - 1-dimethylethyl)amino]-1-hydroxyethyl]-2-methylphenol sulfate)
1126,Albuterol Related Compound B (10 mg) (2-(tert-butylamino)-1-[4-hydroxy-3-(hydroxymethyl)phenyl]ethanone)
1127,Albuterol Related Compound E (10 mg) (2 - 2'-oxybis(methylene)bis{4-[2-(tert-butylamino)-1-hydroxyethyl]phenol} diacetate)
1128,Albuterol Related Compound F (15 mg) (4-[2-(tert-Butylamino)-1-ethoxyethyl]-2-(hydroxymethyl)phenol)
1129,Albuterol Sulfate (200 mg)
1130,Alclometasone Dipropionate (300 mg)
1131,Alclometasone Dipropionate Related Compound A (20 mg) (11beta - 17 - 21-trihydroxy-16alpha-methylpregna-1 - 4-diene-3 - 20-dione 17 - 21-dipropionate)
1132,Alcohol (1.2 mL/ampule; 5 ampules)
1133,Alcohol Determination--Acetonitrile
1134,Alcohol Determination--Alcohol (5 mL/ampule; 5 ampules)
1135,Alendronate Sodium (200 mg)
1136,Aleuritic Acid (50 mg)
1137,Alfentanil Hydrochloride CII (500 mg)
1138,Alfuzosin Hydrochloride (150 mg)
1139,Alfuzosin System Suitability Mixture (15 mg)
1140,Alfuzosin System Suitability Mixture A (25 mg) (Alfuzosin Hydrochloride containing Impurity A -  Impurity D -  and Impurity E)
1141,Alitame (250 mg)
1142,Alitame - Alanine Amide Impurity (25 mg) (N-(2 - 2 - 4 - 4-tetramethyl-3-thietanyl)-D-alanimamide)
1143,Allantoin (200 mg)
1144,Alliin (25 mg)
1145,Allopurinol (250 mg)
1146,Allopurinol Related Compound A (25 mg) (3-Amino-4-carboxamidopyrazole Hemisulfate)
1147,Allopurinol Related Compound B (25 mg) (5-(formylamino)-1H-pyrazole-4-carboxamide)
1148,Allopurinol Related Compound C (25 mg) (5-(4H-1 - 2 - 4-triazol-4-yl)-1H-pyrazole-4-carboxamide)
1149,Allopurinol Related Compound D (35 mg) (ethyl 5-amino-1H-pyrazole-4-carboxylate)
1150,Allopurinol Related Compound E (25 mg) (ethyl 5-(formylamino)-1H-pyrazole-4-carboxylate)
1151,Allopurinol Related Compound F (25 mg) (ethyl-(E/Z)-3-(2-carbethoxy-2-cyanoethenyl)amino-1H-pyrazole-4-carboxylate)
1152,Allyl Anthranilate (0.5 mL/ampule; 5 ampules)
1153,Allyl Butyrate (5 x 0.5 mL)
1154,Allyl Cinnamate (0.5 mL/ampule; 5 ampules)
