col_zero,col_one,col_two,col_three,col_four
vdx_ophthalmology,Eye lesion,Signs & Symptoms,Ocular pruritus,
vdx_ophthalmology,Eye lesion,Signs & Symptoms,Ocular pain,
vdx_ophthalmology,Eye lesion,Signs & Symptoms,Diplopia,
vdx_ophthalmology,Eye lesion,Signs & Symptoms,Excessive tearing,
vdx_ophthalmology,Eye lesion,Signs & Symptoms,Corneal opacities,
vdx_ophthalmology,Eye lesion,Signs & Symptoms,Ocular hemorrhage,
vdx_ophthalmology,Eye lesion,Nagetive Findings,No skin findings,
vdx_ophthalmology,Eye lesion,Nagetive Findings,No cardiovascular findings,
vdx_ophthalmology,Eye lesion,Nagetive Findings,No dysmorphologic/malformation features,
vdx_ophthalmology,Eye lesion,Nagetive Findings,No gastrointestinal findings,
vdx_ophthalmology,Eye lesion,Nagetive Findings,No HEENT findings,
vdx_ophthalmology,Eye lesion,Nagetive Findings,No musculoskeletal findings,
vdx_ophthalmology,Eye lesion,Nagetive Findings,No neurologic findings,
vdx_ophthalmology,Eye lesion,Nagetive Findings,No medication use (prescription or OTC),
vdx_ophthalmology,Eye lesion,Nagetive Findings,No respiratory findings,
vdx_ophthalmology,Ocular pain,Onset Findings,Developed rapidly (minutes to hours),
vdx_ophthalmology,Ocular pain,Onset Findings,Developed acutely (days to weeks),
vdx_ophthalmology,Ocular pain,Onset Findings,Developed chronically (months to years),
vdx_ophthalmology,Ocular pain,Onset Findings,Recurring episodes or relapses,
vdx_ophthalmology,Ocular pain,Onset Findings,Present at birth,
vdx_ophthalmology,Ocular pain,Other eye symptoms,Conjunctival injection,
vdx_ophthalmology,Ocular pain,Other eye symptoms,Eye discharge,
vdx_ophthalmology,Ocular pain,Other eye symptoms,Blurred vision,
vdx_ophthalmology,Ocular pain,Other eye symptoms,Diplopia,
vdx_ophthalmology,Ocular pain,Other eye symptoms,Photophobia,
vdx_ophthalmology,Ocular pain,Other eye symptoms,Ophthalmoplegia,
vdx_ophthalmology,Ocular pain,Other eye symptoms,Gritty eyes,
vdx_ophthalmology,Ocular pain,Social History,Hygiene,
vdx_ophthalmology,Ocular pain,Social History,Contact lens wearer,
vdx_ophthalmology,Ocular pain,Social History,Cosmetics use,
vdx_ophthalmology,Ocular pain,Social History,Swimming,
vdx_ophthalmology,Ocular pain,Eye Lesions & Abnormalities,Conjunctiva Abnormality,Conjunctival Papillae
vdx_ophthalmology,Ocular pain,Eye Lesions & Abnormalities,Conjunctiva Abnormality,Conjunctival Nodule
vdx_ophthalmology,Ocular pain,Eye Lesions & Abnormalities,Conjunctiva Abnormality,Symblepharon
vdx_ophthalmology,Ocular pain,Eye Lesions & Abnormalities,Conjunctiva Abnormality,Palpebral Conjunctival Injection
vdx_ophthalmology,Ocular pain,Eye Lesions & Abnormalities,Conjunctiva Abnormality,Conjunctival Pigmentation
vdx_ophthalmology,Ocular pain,Eye Lesions & Abnormalities,Eyelash Abnormality,Eyelash Madarosis
vdx_ophthalmology,Ocular pain,Eye Lesions & Abnormalities,Eyelash Abnormality,Eyelash Color Change
vdx_ophthalmology,Ocular pain,Eye Lesions & Abnormalities,Eyelash Abnormality,Trichiasis
vdx_ophthalmology,Ocular pain,Eye Lesions & Abnormalities,Pupil / Lens / Iris Abnormality,Miosis
vdx_ophthalmology,Ocular pain,Eye Lesions & Abnormalities,Pupil / Lens / Iris Abnormality,Mydriasis
vdx_ophthalmology,Ocular pain,Eye Lesions & Abnormalities,Pupil / Lens / Iris Abnormality,Pupil Shape Abnormal
vdx_ophthalmology,Ocular pain,Eye Lesions & Abnormalities,Pupil / Lens / Iris Abnormality,Lens Abnormality
vdx_ophthalmology,Ocular pain,Eye Lesions & Abnormalities,Pupil / Lens / Iris Abnormality,Iris Abnormality
vdx_ophthalmology,Ocular pain,Eye Lesions & Abnormalities,Cornea / Anterior Chamber Abnormality,Corneal Peripheral Lesion
