abacavir
abciximab
acamprosate
acarbose
acebutolol
aceclofenac
aceclofenac + paracetamol
acemetacin
acenocoumarol
acetazolamide
acetylcysteine
aciclovir
acipimox
acitretin
aclarubicin
acrivastine
adalimumab
adapalene
adefovir
adenosine
ajmaline
albendazole
alclometasone
alcohol
alcuronium
aldesleukin
alemtuzumab
alendronic acid
alfacalcidol
alfentanil
alfuzosin
alginic acid
alimemazine
aliskiren + hydrochlorothiazide
aliskiren fumarate
alizapride
allopurinol
allylestrenol
alminoprofen
almitrine
almitrine + raubasine
almotriptan
aloxiprin
alprazolam
alprenolol
alprostadil
alteplase
altretamine
aluminium hydroxide
alverine
amantadine
ambroxol
amcinonide
amfepramone
amifostine
amikacin
amiloride
amiloride + hydrochlorothiazide
aminobenzoic acid
aminobutyric acid
aminocaproic acid
aminomethylbenzoic acid
aminophylline
amiodarone
amisulpride
amitriptyline
amlexanox
amlodipine
amlodipine + atenolol
amlodipine + atorvastatin
amlodipine + benazepril
amlodipine + enalapril
amlodipine + lisinopril
amlodipine + losartan
ammonium chloride
amobarbital
amorolfine
amoxapine
amoxicillin
amoxicillin + bromhexine
amoxicillin + carbocisteine
amoxicillin + clavulanic acid
amoxicillin + cloxacillin
amphotericin b
ampicillin
ampicillin + cloxacillin
ampicillin + sulbactam
amprenavir
amrinone
amsacrine
amylmetacresol
anagrelide
anakinra
anastrozole
androstanolone
aniracetam
anistreplase
antazoline
anthraquinone glycosides + salicylic acid
anti-d immunoglobulins
antithrombin iii
apomorphine
aprepitant
aprindine
aprotinin
ardeparin
argatroban
aripiprazole
arsenic trioxide
arteether
artemether
artemether + lumefantrine
artemisiae argyi
artemisinin
artesunate
ascorbic acid
asparaginase
aspirin
aspirin + clopidogrel
aspirin + dipyridamole
aspirin + ticlopidine
aspirin + vitamin c
ast-120
atazanavir
atenolol
atenolol + chlortalidone
atenolol + nifedipine
atomoxetine
atorvastatin
atorvastatin + ezetimibe
atorvastatin + fenofibrate
atosiban
atovaquone
atracurium besilate
atropine
auranofin
azapentacene polysulfonate sodium
azapropazone
azatadine
azathioprine
azelaic acid
azelastine
azithromycin
azlocillin
aztreonam
bacampicillin
bacitracin
bacitracin + polymyxin b
baclofen
balsalazide
bambuterol
bamifylline
bamipine
barnidipine
basiliximab
batroxobin
beclometasone
benazepril
bencyclane
bendroflumethiazide
benfluorex
benfotiamine
benidipine
benorilate
benserazide
benserazide + levodopa
benzalkonium chloride
benzathine benzylpenicillin
benzatropine
benzbromarone
benzocaine
benzoxonium chloride
benzoyl peroxide
benzydamine
benzyl benzoate
benzylpenicillin
benzylthiouracil
bepridil
beraprost
berberine
beta sitosterol
betacarotene
betahistine
betamethasone
betamethasone + calcipotriol
betamethasone + clotrimazole
betamethasone + fusidic acid
betamethasone + gentamicin
betamethasone + neomycin
betamethasone + salicylic acid
betanidine
betaxolol
bethanechol
bevantolol
bezafibrate
bicalutamide
bifemelane
bifonazole
bimatoprost
biperiden
bisacodyl
bismuth subcitrate
bismuth subnitrate
bisoprolol
bivalirudin
bleomycin
bopindolol
boric acid
bortezomib
bosentan
bretylium tosilate
brimonidine
brinzolamide
bromazepam
bromhexine
bromisoval
bromocriptine
bromopride
bromperidol
brompheniramine
brotizolam
bucillamine
buclizine
budesonide
budesonide + formoterol
bufexamac
buflomedil
buformin
bulaquine
bumetanide
buphenine
bupivacaine
buprenorphine
bupropion
buserelin
buspirone
busulfan
butamirate
butenafine
butizide
butobarbital
butoconazole
butorphanol
butriptyline
cabergoline
caffeine
calamine
calcipotriol
calcitonin
calcitriol
calcium acetate
calcium carbonate
calcium carbonate + vitamin d3
calcium chloride
calcium citrate + vitamin d3
calcium dobesilate
calcium folinate
calcium gluconate
calcium lactate
calcium phosphate
camostat
camylofin
candesartan
canrenone
capecitabine
capreomycin
captodiame
captopril
captopril + hydrochlorothiazide
carbachol
carbamazepine
carbazochrome
carbenicillin
carbenoxolone
carbetocin
carbidopa + levodopa
carbidopa + levodopa + entacapone
carbimazole
carbinoxamine
carbocisteine
carbomer
carboplatin
carboprost
carboquone
carglumic acid
carisoprodol
carmustine
caroverine
carteolol
carvedilol
caspofungin
cathine
cefaclor
cefadroxil
cefalexin
cefalotin
cefamandole
cefapirin
cefatrizine
cefazolin
cefdinir
cefditoren
cefepime
cefetamet
cefixime
cefmenoxime
cefmetazole
cefodizime
cefoperazone
cefoperazone + sulbactam
cefotaxime
cefotaxime + sulbactam
cefotiam
cefoxitin
cefpiramide
cefpirome
cefpodoxime
cefprozil
cefradine
cefsulodin
ceftazidime
ceftezole
ceftibuten
ceftizoxime
ceftriaxone
ceftriaxone + tazobactam
cefuroxime
celecoxib
celiprolol
cerivastatin sodium
cetirizine
cetirizine + pseudoephedrine
cetrimide
cetrimide + chlorhexidine
cetrorelix
cetuximab
cetylpyridinium
charcoal, activated
chenodeoxycholic acid
chloral hydrate
chlorambucil
chloramphenicol
chlorcyclizine
chlordiazepoxide
chlordiazepoxide + clidinium bromide
chlorhexidine
chlormadinone
chlormethine
chloroquine
chlorothiazide
chlorphenamine
chlorphenoxamine
chlorpromazine
chlorpropamide
chlorprothixene
chlortalidone
chlortetracycline
chlorzoxazone
choline salicylate
choline theophyllinate
choriogonadotropin alfa
chorionic gonadotrophin
chromium picolinate
chymotrypsin
ciclesonide
cicletanine
ciclopirox
ciclosporin
cidofovir
cilazapril
cilnidipine
cilostazol
cimetidine
cimetropium bromide
cinacalcet
cinchocaine
cinnarizine
cinnarizine + domperidone
cinoxacin
ciprofibrate
ciprofloxacin
ciprofloxacin + tinidazole
cisatracurium
cisplatin
citalopram
citicoline
citric acid
cladribine
clarithromycin
clebopride
clemastine
clenbuterol
clindamycin
clindamycin + benzoyl peroxide
clioquinol
clobazam
clobenzorex
clobetasol
clobetasol + neomycin + nystatin
clobetasone
clodronic acid
clofazimine
clofedanol
clofibrate
clofoctol
clomethiazole
clomifene
clomipramine
clonazepam
clonidine
clopamide
clopidogrel
clorazepate
cloridarol
clotiapine
clotiazepam
clotrimazole
cloxacillin
cloxazolam
clozapine
coal tar
codeine
co-dergocrine mesylate
colchicine
colecalciferol
colesevelam
colestipol
colestyramine
colfosceril palmitate
colistin
collagen
copper sulfate
corticorelin
cortisone
cromoglicic acid
crotamiton
cyamemazine
cyanocobalamin
cyclandelate
cyclidrol
cyclizine
cyclobenzaprine
cyclofenil
cyclopenthiazide
cyclopentolate
cyclophosphamide
cycloserine
cyproheptadine
cyproterone
cysteine
cytarabine
cytomegalovirus immunoglobulin, human
dabigatran
dacarbazine
daclizumab
dactinomycin
dalteparin sodium
danazol
dantrolene
dapsone
daptomycin
darbepoetin alfa
darifenacin
dasatinib
daunorubicin
debrisoquine
deferasirox
deferiprone
deferoxamine
deflazacort
delapril
demeclocycline
demoxytocin
dequalinium
desflurane
deslanoside
desloratadine
deslorelin
desmopressin
desogestrel
desogestrel + ethinylestradiol
desonide
desoximetasone
desvenlafaxine
dexamethasone
dexamethasone + neomycin + polymyxin b
dexbrompheniramine
dexchlorpheniramine
dexetimide
dexibuprofen
dexpanthenol
dextran
dextromethorphan
dextrose + sodium chloride
diacerein
diazepam
diazoxide
dibekacin
dibenzepin
diclofenac
diclofenac + paracetamol
dicloxacillin
dicycloverine
didanosine
dienestrol
diethylamine salicylate
diethylcarbamazine
diethylstilbestrol
difemerine
diflorasone
diflucortolone
diflunisal
difluprednate
digitoxin
digoxin
digoxin immune fab
dihydralazine
dihydrocodeine
dihydroergocristine
dihydroergotamine
diloxanide
diltiazem
dimenhydrinate
dimercaprol
dimethindene
dimeticone
dimetofrine
dinoprost
dinoprostone
dioctahedral smectite
diosmin + hesperidin
diphenhydramine
diphenoxylate
diphenylpyraline hydrochloride
diphtheria antitoxin
dipivefrine
diprophylline
dipyridamole
dirithromycin
disodium hydrogen citrate
disopyramide
disulfiram
dithranol
dobutamine
docetaxel
docosahexaenoic acid
docusate sodium
docusates
dofetilide
dolasetron
domperidone
domperidone + paracetamol
donepezil
dopamine
doripenem
dorzolamide
dosulepin
doxapram
doxazosin
doxepin
doxofylline
doxorubicin
doxycycline
doxylamine
doxylamine + pyridoxine
dronedarone
droperidol
drotaverine
drotrecogin alfa (activated)
dulaglutide
duloxetine
dutasteride
dydrogesterone
ebastine
econazole
efalizumab
efavirenz
eletriptan
emedastine
emetine
emtricitabine
enalapril
enalapril + hydrochlorothiazide
enflurane
enoxacin
enoxaparin sodium
entacapone
eperisone
ephedrine
epinastine
epinephrine
epirubicin
eplerenone
epoetin alfa
epoetin beta
epoprostenol
eprosartan
eptifibatide
erdosteine
ergocalciferol
ergometrine
ergotamine
ergotamine + caffeine + cyclizine
erlotinib
ertapenem
erythromycin
erythropoietin
escitalopram
esmolol
esomeprazole
estazolam
estradiol
estramustine
estriol
estrogens
estrone
eszopiclone
etacrynic acid
etamsylate
etanercept
ethacridine lactate
ethambutol
ethinylestradiol
ethinylestradiol + drospirenone
ethionamide
ethosuximide
ethyl chloride
ethyl loflazepate
etidronate disodium
etilefrine
etizolam
etodolac
etofamide
etofenamate
etofibrate
etomidate
etonogestrel
etoposide
etoricoxib
etravirine
etynodiol
eugenol
exemestane
exenatide
ezetimibe
factor ix
factor viia, recombinant
factor viii
famciclovir
famotidine
felbamate
felbinac
felodipine
fenbufen
fencamfamin
fendiline
fenofibrate
fenoprofen
fenoterol
fenoverine
fenquizone
fenspiride
fentanyl
feprazone
ferrous fumarate
ferrous fumarate + folic acid
ferrous gluconate
ferrous sulfate
fexofenadine
filgrastim
finasteride
finasteride + tamsulosin
flavoxate
flecainide
floctafenine
flubendazole
fluclorolone
flucloxacillin
fluconazole
flucytosine
fludarabine
fludiazepam
fludrocortisone
flufenamic acid
flumazenil
flumetasone
flumetasone + clioquinol
flumetasone + salicylic acid
flunarizine
flunisolide
flunitrazepam
fluocinolone
fluocinolone + hydroquinone + tretinoin
fluocinonide
fluocortolone
fluorescein
fluorometholone
fluorouracil
fluoxetine
fluoxymesterone
flupentixol
fluphenazine
fluprednidene
flurazepam
flurbiprofen
fluspirilene
flutamide
fluticasone
fluvastatin
fluvoxamine
folic acid
follitropin alfa
follitropin beta
fomepizole
fondaparinux sodium
formaldehyde
formestane
formoterol
fosfestrol
fosfomycin
fosinopril
fosphenytoin
fotemustine
framycetin
furazolidone
furosemide
furosemide + amiloride
furosemide + spironolactone
fusafungine
fusidic acid
gabapentin
gadopentetic acid
galantamine
gallamine triethiodide
gallopamil
ganciclovir
ganirelix
gatifloxacin
gefitinib
gelatin
gemcitabine
gemeprost
gemfibrozil
gemifloxacin
gentamicin
gestodene
gestodene + ethinylestradiol
gestrinone
gimeracil
ginkgo biloba
glafenine
glatiramer acetate
glibenclamide
glibenclamide + metformin
glibornuride
gliclazide
glimepiride
glimepiride + metformin
glipizide
glipizide + metformin
gliquidone
glucagon
glucosamine
glucose
glutaral
glycerol
glyceryl trinitrate
glycine
glycopyrronium bromide
gonadorelin
goserelin
gramicidin
granisetron
griseofulvin
guaifenesin
guanethidine
guanfacine
guar gum
halcinonide
halofantrine
halometasone
haloperidol
halothane
hedera helix
heparin
heparinoids
hepatitis a immunoglobulin
hepatitis b immunoglobulin
hexamidine
hexetidine
hexobendine
hexoprenaline
homatropine
homochlorcyclizine dihydrochloride
human albumin
human menopausal gonadotrophins
human normal immunoglobulin
hyaluronidase
hydralazine
hydrochlorothiazide
hydrocodone
hydrocortisone
hydrocortisone + fusidic acid
hydroflumethiazide
hydrogen peroxide
hydromorphone
hydroquinone
hydrotalcite
hydroxocobalamin
hydroxyapatite compound
hydroxycarbamide
hydroxychloroquine
hydroxyprogesterone caproate
hydroxyzine
hyoscine
hyoscyamine
hypromellose
ibandronic acid
ibopamine
ibuprofen
ibuprofen + paracetamol
ibuproxam
ibutilide
idarubicin
idebenone
idoxuridine
ifenprodil
ifosfamide
iloprost
imatinib
imidapril
imipenem
imipenem + cilastatin
imipramine
imiquimod
indapamide
indigo carmine
indinavir
indobufen
indocyanine green
indometacin
infliximab
inosine pranobex
insulin aspart
insulin degludec
insulin detemir
insulin glargine
insulin glulisine
insulin human, isophane
insulin human, soluble
insulin lispro
insulin lispro + insulin lispro protamine
interferon alfa-2a
interferon alfa-2b
interferon alfacon-1
interferon gamma
iodine
iohexol
iopamidol
iopromide
ipratropium bromide
ipratropium bromide + salbutamol
ipriflavone
irbesartan
irinotecan
iron acetyltransferrin
iron dextran
iron polymaltose
iron proteinsuccinylate
iron sucrose
isepamicin
isoconazole
isoconazole + diflucortolone
isoflurane
isometheptene
isoniazid
isoprenaline
isosorbide dinitrate
isosorbide mononitrate
isosorbide mononitrate + aspirin
isothipendyl
isotretinoin
isoxsuprine
ispaghula husk
isradipine
itopride
itraconazole
ivabradine
ivermectin
ivermectin + albendazole
josamycin
kanamycin
kaolin
ketamine
ketanserin
ketoconazole
ketoprofen
ketorolac
ketotifen
labetalol
lacidipine
lactated ringers solution
lactic acid
lactulose
lafutidine
l-alanyl-l-glutamine
lamivudine
lamivudine + zidovudine
lamotrigine
lanatoside c
lanoconazole
lanreotide
lansoprazole
lanthanum carbonate
latamoxef
latanoprost
latanoprost + timolol
lauromacrogol 400
lecithin
leflunomide
lenograstim
lepirudin
lercanidipine
letosteine
letrozole
leuprorelin
levamisole
levetiracetam
levobunolol
levobupivacaine
levocabastine
levocetirizine
levodopa
levodropropizine
levofloxacin
levomepromazine
levonorgestrel
levonorgestrel + ethinylestradiol
levosimendan
levosulpiride
levothyroxine sodium
lidocaine
lidocaine + epinephrine
lidocaine + epinephrine + tetracaine
lidocaine + fluorescein
lidocaine + prilocaine
lidocaine + tribenoside
linagliptin
lincomycin
lindane
linezolid
liothyronine
lisinopril
lisinopril + hydrochlorothiazide
lithium
lodoxamide
lomefloxacin
lomustine
lonazolac
loperamide
lopinavir
lopinavir + ritonavir
loracarbef
loratadine
loratadine + pseudoephedrine
lorazepam
lormetazepam
lornoxicam
losartan
losartan + hydrochlorothiazide
losartan + ramipril
loteprednol
lovastatin
loxapine
loxoprofen
lubiprostone
lynestrenol
lypressin
lysine
macrogol
mafenide
magnesium acetate
magnesium carbonate
magnesium chloride
magnesium gluconate
magnesium hydroxide
magnesium lactate
magnesium oxide
magnesium sulfate
malathion
manidipine
mannitol
maprotiline
mazindol
mebendazole
mebeverine
mebhydrolin
mecillinam
meclofenoxate
meclozine
meclozine + pyridoxine
mecobalamin
medazepam
medicinal opium preparations
medrogestone
medroxyprogesterone
mefenamic acid
mefloquine
mefruside
megestrol
meglumine gadopentetate
melatonin
melitracen
meloxicam
melphalan
memantine
menadione
menfegol
menotrophin
menthol
mepacrine
mepartricin
mepenzolate bromide
mephenesin
mephenoxalone
mephentermine
mepivacaine
meprobamate
mepyramine
mequitazine
mercaptopurine
meropenem
mesalazine
mesna
mesoridazine
mesterolone
metacycline
metadoxine
metampicillin
metandienone
metaraminol
metaxalone
metenolone
metergoline
metformin
methadone
methazolamide
methdilazine
methenamine
methiosulfonium chloride
methocarbamol
methohexital
methotrexate
methoxamine
methoxsalen
methyclothiazide
methyldopa
methylergometrine
methylphenidate
methylprednisolone
methyltestosterone
methylthioninium chloride
metildigoxin
metipranolol
metixene
metoclopramide
metolazone
metoprolol
metoprolol + hydrochlorothiazide
metronidazole
metronidazole + norfloxacin
mexiletine
mezlocillin
mianserin
mibefradil
micafungin
miconazole
midazolam
midecamycin
midodrine
mifepristone
miglitol
milrinone
miltefosine
minocycline
minoxidil
mirtazapine
misoprostol
mitomycin
mitotane
mitoxantrone
mivacurium chloride
mizolastine
mizoribine
moclobemide
modafinil
moexipril
molgramostim
molindone
molsidomine
mometasone
montelukast
morphine
mosapride
moxifloxacin
moxisylyte
moxonidine
mupirocin
muromonab-cd3
mycophenolic acid
myrtol
nabumetone
nadolol
nadroparin calcium
nafarelin
naftidrofuryl
naftifine
nalbuphine
nalidixic acid
nalmefene
nalorphine
naloxone
naltrexone
nandrolone
naphazoline
naphazoline + antazoline
naphazoline + pheniramine
naproxen
naratriptan
natamycin
nateglinide
nebivolol
nebivolol + hydrochlorothiazide
nedocromil
nefazodone
nefopam
nelfinavir
neomycin
neomycin + bacitracin
neostigmine
nesiritide
netilmicin
nevirapine
niaprazine
nicardipine
nicergoline
niceritrol
niclosamide
nicorandil
nicotinamide
nicotine
nicotinic acid
nifedipine
niflumic acid
nifuratel
nifuroxazide
nifurtoinol
nifurzide
nilotinib
nilvadipine
nimesulide
nimesulide + racemethionine
nimodipine
nimorazole
nimustine
nisoldipine
nitazoxanide
nitrazepam
nitrendipine
nitrofural
nitrofurantoin
nitroxoline
nizatidine
nonoxinol 9
nordazepam
norelgestromin + ethinylestradiol
norepinephrine
norethisterone
norfloxacin
norfloxacin + tinidazole
norgestimate
norgestrel + ethinylestradiol
nortriptyline
nystatin
octreotide
ofloxacin
olanzapine
olive oil
olmesartan
olopatadine
olsalazine
omalizumab
omega-3 triglycerides
omeprazole
omeprazole + domperidone
ondansetron
opipramol
oprelvekin
orciprenaline
orgotein
orlistat
ormeloxifene
ornidazole
orphenadrine
oseltamivir
oteracil potassium
otilonium bromide
oxaceprol
oxacillin
oxaliplatin
oxandrolone
oxantel
oxaprozin
oxatomide
oxazepam
oxcarbazepine
oxedrine
oxiconazole
oxiracetam
oxolinic acid
oxomemazine
