Nutritional,Emaciated,nomultiple
Gasterointestinal System,Dyspepsia
Gasterointestinal System,Melena
Gasterointestinal System,Steatorrhea
Gasterointestinal System,Caput Medusae
Gasterointestinal System,Change in bowel history
Gasterointestinal System,Abnormal Pulsations/Movememnts
Gasterointestinal System,Absent bowel sounds
Gasterointestinal System,Abdominal rigidity
Endocrine System,NAD
Endocrine System,Cretinism
Endocrine System,Gigantism
Endocrine System,Addisons disease
Endocrine System,Cushings disease
Endocrine System,Pituatary insufficiency
Endocrine System,Hirsutism
Endocrine System,Abnormal Weight gain
Endocrine System,Abnormal Weight Loss
Endocrine System,Changes in mood/memory
Endocrine System,Tremor
Endocrine System,Exophthalmos
Endocrine System,Fat pads on neck and shoulders
Endocrine System,Hyperpigmentation of skin
Endocrine System,Intolerance to heat or cold
Endocrine System,Confusion
Endocrine System,Blurred vision
Endocrine System,Paresthesias
Endocrine System,Seizures
Endocrine System,Coma
Endocrine System,Decreased blood glucose level
Endocrine System,Pallor
Endocrine System,Cool, clammy skin
Endocrine System,Diaphoretic
Endocrine System,Polyurea
Endocrine System,Polydipsia
Endocrine System,Polyphagia
Endocrine System,Tachycardia
Endocrine System,Palpitations
Endocrine System,Hypothyroidism
Endocrine System,Hperthyroidism
Endocrine System,Diabetes Mellitus
Endocrine System,Diabetes Insipidus
Endocrine System,Hypoparathyroidism
Endocrine System,Hyperparathyroidism
Skin,NAD
Skin,Edema
Skin,Pallor
Skin,Icterus
Skin,Rash
Skin,Turgor
Skin,Texture Change
Skin,Change In Existing Skin Lesion
Skin,New Skin Lesion
Skin,Itching
Skin,Persistent Rash
Skin,Macule
Skin,Papule
Skin,Bullae
Skin,Dermatitis
Skin,Pustule
Skin,Scaly skin
Skin,Pruritis
Skin,Burns
Skin,Moles
Skin,Flushing
Skin,Hyperpigmentation
Skin,Hypopigmentation
Genito-Urinary System (M),NAD
Genito-Urinary System (M),Increased urination
Genito-Urinary System (M),Decreased urination
Genito-Urinary System (M),Loss of bladder control
Genito-Urinary System (M),CKD
Genito-Urinary System (M),Erectile dysfunction
Genito-Urinary System (M),Penile discharge
Genito-Urinary System (M),Pain on micturition
Genito-Urinary System (M),Burning on micturition
Genito-Urinary System (M),Infertility
Genito-Urinary System (M),Genital Lesions
Genito-Urinary System (M),Blood in urine
Genito-Urinary System (M),Incomplete voiding
Genito-Urinary System (M),Phimosis
Genito-Urinary System (M),Kyluria
Genito-Urinary System (F),NAD
Genito-Urinary System (F),Pelvic pain
Genito-Urinary System (F),Pain on micturition
Genito-Urinary System (F),Burning on micturition
Genito-Urinary System (F),Vaginal discharge
Genito-Urinary System (F),Loss of bladder control
Genito-Urinary System (F),Inflammation
Genito-Urinary System (F),Pain/swelling
Genito-Urinary System (F),Excessive menstrual bleeding
Genito-Urinary System (F),Prolonged menses
Genito-Urinary System (F),Inter mentsrual bleeding
Genito-Urinary System (F),Painful Menstruation
Genito-Urinary System (F),Irregular menses
Genito-Urinary System (F),Amenorrhea
Genito-Urinary System (F),Infertility
Genito-Urinary System (F),Genital Lesions
Psychiatric Evaluation,NAD
Psychiatric Evaluation,Anxiety
Psychiatric Evaluation,Delirium/Confusion
Psychiatric Evaluation,Agitation
Psychiatric Evaluation,Irritability
Psychiatric Evaluation,Personality changes
Psychiatric Evaluation,Anhedonia
Psychiatric Evaluation,Suicidal ideation
Psychiatric Evaluation,Headache
Psychiatric Evaluation,Memory impairment
Psychiatric Evaluation,Seizures
Psychiatric Evaluation,Insomnia
Psychiatric Evaluation,Tremor
Psychiatric Evaluation,Paresthesias
Psychiatric Evaluation,Altered Mental Sensorium
Psychiatric Evaluation,Mood changes
Psychiatric Evaluation,Depression
Psychiatric Evaluation,Mania
